date,amount,vendor,classes
2025-09-11,1452.0,Sabhalam Enterprises CAFE CDH-2,3
2025-09-03,384.0,Sabhalam Enterprises CAFE CDH-2,3
2025-09-09,14580.0,Amma vegetables CDH-2 CAFE,3
2025-09-11,49360.0,Rahul Stores cdh-2 cafe,3
2025-09-03,2100.0,Rahul Stores cdh-2 cafe,3
2025-09-08,922.0,Star Bakery /cafe-cdh-2,3
2025-09-05,10839.0,Star Bakery /cafe-cdh-2,3
2025-09-01,7260.0,Star Bakery /cafe-cdh-2,3
2025-09-04,8775.0,Gomathy Egg Stores CDH-2 CAFE,3
2025-09-10,8775.0,Gomathy Egg Stores CDH-2 CAFE,3
2025-09-04,7284.0,priya Vegitables Chalai CAFE-2,1
2025-09-02,7172.0,priya Vegitables Chalai CAFE-2,1
2025-09-09,5272.0,priya Vegitables Chalai CAFE-2,1
2025-09-09,82444.0,priya Vegitables Chalai CAFE-2,1
2025-09-03,41125.0,Ponmudi gas CDH-2,3
2025-09-08,24675.0,Ponmudi gas CDH-2,3
2025-09-10,32900.0,Ponmudi gas CDH-2,3
2025-09-11,3240.0,Dinu Bakery CDH-2,3
2025-09-10,8100.0,Dinu Bakery CDH-2,3
2025-09-03,6300.0,Dinu Bakery CDH-2,3
2025-09-09,3600.0,Dinu Bakery CDH-2,3
2025-09-02,6128.0,Dinu Bakery CDH-2,3
2025-09-08,7710.0,Sabhalam Enterprises CDH-2,3
2025-09-11,9940.0,Sabhalam Enterprises CDH-2,3
2025-09-03,18009.0,Sabhalam Enterprises CDH-2,3
2025-09-11,36144.0,Fathima Chicken Vithura CDH-2,3
2025-09-04,37769.0,Fathima Chicken Vithura CDH-2,3
2025-09-08,38492.0,Fathima Chicken Vithura CDH-2,3
2025-09-09,74255.0,Amma Vegitables cdh-2,3
2025-09-11,44200.0,Amma Vegitables cdh-2,3
2025-09-06,14280.0,Amma Vegitables cdh-2,3
2025-09-02,6888.0,Amma Vegitables cdh-2,3
2025-09-04,30660.0,Amma Vegitables cdh-2,3
2025-09-01,6710.0,Amma Vegitables cdh-2,3
2025-09-08,22400.0,Amma Vegitables cdh-2,3
2025-09-04,8820.0,Fahad Home Center CDH-2,3
2025-09-01,7621.0,Star Bakery CDH-2,3
2025-09-04,8775.0,Gomathy Egg Stores CDH-2,3
2025-09-10,8775.0,Gomathy Egg Stores CDH-2,3
2025-09-02,58176.0,Priya Vegitables Chalai CDH-2,3
2025-09-04,75775.0,Priya Vegitables Chalai CDH-2,3
2025-09-03,1160.0,Magom Rice Flowermill CDH-2,3
2025-09-10,1160.0,Magom Rice Flowermill CDH-2,3
2025-09-03,9932.0,Milan Agencies-Milk-CDH-2,3
2025-09-08,7449.0,Milan Agencies-Milk-CDH-2,3
2025-09-10,11173.5,Milan Agencies-Milk-CDH-2,3
2025-09-12,9932.0,Milan Agencies-Milk-CDH-2,3
2025-09-04,11173.5,Milan Agencies-Milk-CDH-2,3
2025-09-02,9932.0,Milan Agencies-Milk-CDH-2,3
2025-09-05,9932.0,Milan Agencies-Milk-CDH-2,3
2025-09-07,8690.5,Milan Agencies-Milk-CDH-2,3
2025-09-11,7449.0,Milan Agencies-Milk-CDH-2,3
2025-09-06,4966.0,Milan Agencies-Milk-CDH-2,3
2025-09-09,11173.5,Milan Agencies-Milk-CDH-2,3
2025-09-11,63275.0,Rahul stores CDH-2,3
2025-09-03,14380.0,Rahul stores CDH-2,3
2025-09-02,172980.0,Rahul stores CDH-2,3
2025-09-02,76550.0,Rahul stores CDH-2,3
2025-09-02,89347.0,Rahul stores CDH-2,3
2025-09-02,51280.0,Rahul stores CDH-2,3
2025-09-02,42926.0,Rahul stores CDH-2,3
2025-09-04,2936.0,amma vegetables CDH-1 Cafe,2
2025-09-02,9488.7,amma vegetables CDH-1 Cafe,2
2025-09-09,7085.1,amma vegetables CDH-1 Cafe,2
2025-09-11,16182.0,Dinu Bakery CDH-1 cafe,2
2025-09-09,9803.0,Dinu Bakery CDH-1 cafe,2
2025-09-10,12290.0,Dinu Bakery CDH-1 cafe,2
2025-09-09,1020.0,Dinu Bakery CDH-1 cafe,2
2025-09-08,3085.0,Sabhalam Enterprises CDH-1 CAFE,2
2025-09-03,14860.0,Sabhalam Enterprises CDH-1 CAFE,2
2025-09-11,3595.0,Sabhalam Enterprises CDH-1 CAFE,2
2025-09-03,12285.0,Mani egg store /cafe-1,1
2025-09-10,12285.0,Mani egg store /cafe-1,1
2025-09-11,52247.0,Rahul Stores /cafe-1,1
2025-09-03,2760.0,Rahul Stores /cafe-1,1
2025-09-11,32271.0,Rahul Stores /cafe-1,1
2025-09-06,800.0,magom rice flowermill cdh_1cafe,2
2025-09-01,800.0,magom rice flowermill cdh_1cafe,2
2025-09-05,17275.0,Star Bakery- Cafe1,1
2025-09-01,12798.0,Star Bakery- Cafe1,1
2025-09-04,1050.0,Cash Voucher CDH-2,3
2025-09-08,1700.0,Cash Voucher CDH-2,3
2025-09-02,750.0,Cash Voucher CDH-2,3
2025-09-02,2500.0,Cash Voucher CDH-2,3
2025-09-02,290.0,Cash Voucher CDH-1,2
2025-09-02,1200.0,Cash Voucher CDH-1,2
2025-09-06,200.0,Cash Voucher CDH-1,2
2025-09-08,1700.0,Cash Voucher CDH-1,2
2025-09-06,345.0,Cash Voucher CDH-1,2
2025-09-04,1360.0,Cash Voucher CDH-1,2
2025-09-08,450.0,Cash Voucher CDH-1,2
2025-09-03,2300.0,Cash Voucher CDH-1,2
2025-09-12,100.0,Cashvoucher /cafe-1,1
2025-09-08,3894.0,Cashvoucher /cafe-1,1
2025-09-02,42926.0,Rahul stores CDH-2,3
2025-09-11,63275.0,Rahul stores CDH-2,3
2025-09-03,14380.0,Rahul stores CDH-2,3
2025-09-02,172980.0,Rahul stores CDH-2,3
2025-09-02,76550.0,Rahul stores CDH-2,3
2025-09-02,89347.0,Rahul stores CDH-2,3
2025-09-02,51280.0,Rahul stores CDH-2,3
2025-09-17,74196.2,Amma vegetables cdh-1,2
2025-09-19,44325.0,Amma vegetables cdh-1,2
2025-09-12,96878.7,Amma vegetables cdh-1,2
2025-09-16,74740.0,Amma vegetables cdh-1,2
2025-09-16,101340.0,Amma vegetables cdh-1,2
2025-09-19,90555.8,Amma vegetables cdh-1,2
2025-09-15,17480.0,Amma vegetables cdh-1,2
2025-09-19,70045.0,Rahul Stores CDH-1,2
2025-09-19,69380.0,Rahul Stores CDH-1,2
2025-09-19,114560.0,Rahul Stores CDH-1,2
2025-09-15,5056.0,Sabhalam enterprises CDH-1,2
2025-09-18,6340.0,Sabhalam enterprises CDH-1,2
2025-09-11,81261.0,Star Bakery CDH-1,2
2025-09-18,6800.0,Ponnus pappadam CDH-1,2
2025-09-17,1280.0,Magom Rice&Flowermill CDH-1,2
2025-09-17,14160.0,Mani Stores CDH-1,2
2025-09-14,16800.0,Fahad Home Center CDH-1,2
2025-09-16,3000.0,Dinu Bakery CDH-1,2
2025-09-15,400.0,Dinu Bakery CDH-1,2
2025-09-17,4550.0,Dinu Bakery CDH-1,2
2025-09-12,1350.0,Dinu Bakery CDH-1,2
2025-09-12,140.0,Dinu Bakery CDH-1,2
2025-09-15,8862.8,Milan Agencies-Milk-CDH-1,2
2025-09-20,9626.7,Milan Agencies-Milk-CDH-1,2
2025-09-19,10123.3,Milan Agencies-Milk-CDH-1,2
2025-09-14,9818.0,Milan Agencies-Milk-CDH-1,2
2025-09-13,8385.2,Milan Agencies-Milk-CDH-1,2
2025-09-16,11250.8,Milan Agencies-Milk-CDH-1,2
2025-09-17,10534.4,Milan Agencies-Milk-CDH-1,2
2025-09-18,8938.8,Milan Agencies-Milk-CDH-1,2
2025-09-19,5886.0,Amma Vegitables cdh-2,3
2025-09-17,74395.0,Amma Vegitables cdh-2,3
2025-09-16,100547.0,Amma Vegitables cdh-2,3
2025-09-12,6102.0,Amma Vegitables cdh-2,3
2025-09-16,14430.0,Amma Vegitables cdh-2,3
2025-09-15,37930.0,Amma Vegitables cdh-2,3
2025-09-19,52875.0,Amma Vegitables cdh-2,3
2025-09-16,13656.5,Milan Agencies-Milk-CDH-2,3
2025-09-18,12415.0,Milan Agencies-Milk-CDH-2,3
2025-09-20,11421.8,Milan Agencies-Milk-CDH-2,3
2025-09-19,12415.0,Milan Agencies-Milk-CDH-2,3
2025-09-17,9932.0,Milan Agencies-Milk-CDH-2,3
2025-09-13,11173.5,Milan Agencies-Milk-CDH-2,3
2025-09-14,13656.5,Milan Agencies-Milk-CDH-2,3
2025-09-15,11173.5,Milan Agencies-Milk-CDH-2,3
2025-09-17,6650.0,Dinu Bakery CDH-2,3
2025-09-12,4536.0,Dinu Bakery CDH-2,3
2025-09-16,4000.0,Dinu Bakery CDH-2,3
2025-09-18,550.0,Dinu Bakery CDH-2,3
2025-09-15,42328.0,Fathima Chicken Vithura CDH-2,3
2025-09-18,40878.0,Fathima Chicken Vithura CDH-2,3
2025-09-18,67370.0,Rahul stores CDH-2,3
2025-09-18,26510.0,Rahul stores CDH-2,3
2025-09-18,61930.0,Rahul stores CDH-2,3
2025-09-18,136630.0,Rahul stores CDH-2,3
2025-09-19,3528.0,Rahul stores CDH-2,3
2025-09-15,9596.0,Sabhalam Enterprises CDH-2,3
2025-09-18,13970.0,Sabhalam Enterprises CDH-2,3
2025-09-13,24675.0,Ponmudi gas CDH-2,3
2025-09-17,24675.0,Ponmudi gas CDH-2,3
2025-09-14,16800.0,Fahad Home Center CDH-2,3
2025-09-19,17700.0,Gomathy Egg Stores CDH-2,3
2025-09-17,1200.0,Magom Rice Flowermill CDH-2,3
2025-09-09,7700.0,Star Bakery CDH-2,3
2025-09-16,60105.0,Priya Vegitables Chalai CDH-2,3
2025-09-12,97055.0,Priya Vegitables Chalai CDH-2,3
2025-09-19,101346.0,Priya Vegitables Chalai CDH-2,3
2025-09-13,32900.0,Ponmudi gas CDH-1,2
2025-09-17,32900.0,Ponmudi gas CDH-1,2
2025-09-14,5280.0,Dinu Bakery CDH-1 cafe,2
2025-09-15,6800.0,Dinu Bakery CDH-1 cafe,2
2025-09-18,4716.0,Dinu Bakery CDH-1 cafe,2
2025-09-13,5100.0,Dinu Bakery CDH-1 cafe,2
2025-09-15,4400.0,Sabhalam Enterprises CDH-1 CAFE,2
